User,Date,Column,Column_Hours,Beam,Beam_Hours,Floor,Floor_Hours,Wall,Wall_Hours,Stair,Stair_Hours,Trade
User_ A,20-Nov-2023,801,32,0,0,402,32,1320,40,0,0,Structure
User_ B,20-Nov-2023,655,32,0,0,370,24,990,32,0,0,Structure
User_ C,20-Nov-2023,1100,32,0,0,570,40,1200,32,0,0,Structure
User_ D,20-Nov-2023,160,16,462,16,490,24,780,40,0,0,Structure
User_ E,20-Nov-2023,250,8,350,24,580,24,450,32,0,0,Structure
User_ F,20-Nov-2023,350,16,500,16,900,32,1401,32,110,34,Structure
User_ G,20-Nov-2023,100,8,800,30,0,0,1450,40,200,40,Structure
User_ H,20-Nov-2023,51,8,186,10,690,32,1230,32,125,35,Structure
User_ I,20-Nov-2023,120,8,1020,24,0,,1500,40,0,0,Structure
User_ J,20-Nov-2023,300,8,1302,24,0,0,2600,50,0,0,Structure
User_ K,20-Nov-2023,111,8,267,8,0,0,1700,48,0,0,Structure
