User,Date,Dry_Wall,Dry_Wall_Hours,Room,Room_Hours,Floor_Finish,Floor_Finish_Hours,Ceiling,Ceiling_Hours,Door,Door_Hours,Trade
User_ A1,5-Nov-2023,790,24,0,0,0,0,0,0,0,0,Structure
User_ B1,5-Nov-2023,462,24,0,0,0,0,0,0,0,0,Structure
User_ C1,5-Nov-2023,1398,24,0,0,0,0,0,0,0,0,Structure
User_ D1,5-Nov-2023,75,8,240,8,168,8,0,0,0,0,Structure
User_ E1,5-Nov-2023,250,8,197,8,236,8,0,0,0,0,Structure
User_ F1,5-Nov-2023,220,8,426,8,301,8,0,0,0,0,Structure
User_ G1,5-Nov-2023,100,8,560,16,0,0,0,0,0,0,Structure
User_ H1,5-Nov-2023,51,8,186,10,30,2,0,0,0,0,Structure
User_ I1,5-Nov-2023,120,8,708,16,0,0,0,0,0,0,Structure
User_ J1,5-Nov-2023,300,8,902,16,0,0,0,0,0,0,Structure
User_ K1,5-Nov-2023,111,8,267,8,0,0,0,0,0,0,Structure
