User,Date,Pipe,Pipe_Hours,Manhole,Manhole_Hours,Fitting,Fitting_Hours,Equipment,Equipment_Hours,Fixture,Fixture_Hours,Trade
User_ A5,12-Nov-2023,801,32,0,0,299,16,600,16,0,0,Structure
User_ B5,12-Nov-2023,655,32,0,0,203,16,298,8,0,0,Structure
User_ C5,12-Nov-2023,1492,32,0,0,333,16,375,8,0,0,Structure
User_ D5,12-Nov-2023,75,8,462,16,302,16,500,16,0,0,Structure
User_ E5,12-Nov-2023,250,8,426,24,495,16,201,8,0,0,Structure
User_ F5,12-Nov-2023,220,8,426,8,512,16,1307,24,35,16,Structure
User_ G5,12-Nov-2023,100,8,722,24,0,0,1400,24,150,16,Structure
User_ H5,12-Nov-2023,51,8,186,10,286,18,780,16,50,16,Structure
User_ I5,12-Nov-2023,120,8,1020,24,0,0,502,16,0,0,Structure
User_ J5,12-Nov-2023,300,8,1302,24,0,0,1500,24,0,0,Structure
User_ K5,12-Nov-2023,111,8,267,8,0,0,758,32,0,0,Structure
