User,Date,Column,Column_Hours,Beam,Beam_Hours,Floor,Floor_Hours,Wall,Wall_Hours,Stair,Stair_Hours,Trade
User_ A,5-Nov-2023,790,24,0,0,0,0,0,0,0,0,Structure
User_ B,5-Nov-2023,462,24,0,0,0,0,0,0,0,0,Structure
User_ C,5-Nov-2023,1398,24,0,0,0,0,0,0,0,0,Structure
User_ D,5-Nov-2023,75,8,240,8,168,8,0,0,0,0,Structure
User_ E,5-Nov-2023,250,8,197,8,236,8,0,0,0,0,Structure
User_ F,5-Nov-2023,220,8,426,8,301,8,0,0,0,0,Structure
User_ G,5-Nov-2023,100,8,560,16,0,0,0,0,0,0,Structure
User_ H,5-Nov-2023,51,8,186,10,30,2,0,0,0,0,Structure
User_ I,5-Nov-2023,120,8,708,16,0,0,0,0,0,0,Structure
User_ J,5-Nov-2023,300,8,902,16,0,0,0,0,0,0,Structure
User_ K,5-Nov-2023,111,8,267,8,0,0,0,0,0,0,Structure
