User,Date,Pipe,Pipe_Hours,Manhole,Manhole_Hours,Fitting,Fitting_Hours,Equipment,Equipment_Hours,Fixture,Fixture_Hours,Trade
User_ PL01,13-Nov-2023,801,32,0,0,299,16,830,24,0,0,Structure
User_ PL02,13-Nov-2023,655,32,0,0,203,16,601,16,0,0,Structure
User_ PL03,13-Nov-2023,1492,32,0,0,333,16,560,16,0,0,Structure
User_ PL04,13-Nov-2023,75,8,462,16,302,16,903,24,0,0,Structure
User_ PL05,13-Nov-2023,250,8,426,24,495,16,450,16,0,0,Structure
User_ PL06,13-Nov-2023,220,8,426,8,512,16,1307,24,70,24,Structure
User_ PL07,13-Nov-2023,100,8,722,24,0,0,1400,24,175,24,Structure
User_ PL08,13-Nov-2023,51,8,186,10,286,18,780,16,80,24,Structure
User_ PL09,13-Nov-2023,120,8,1020,24,0,0,890,24,0,0,Structure
User_ PL10,13-Nov-2023,300,8,1302,24,0,0,1890,32,0,0,Structure
User_ PL11  ,13-Nov-2023,111,8,267,8,0,0,1360,40,0,0,Structure
