User,Date,Dry_Wall,Dry_Wall_Hours,Room,Room_Hours,Floor_Finish,Floor_Finish_Hours,Ceiling,Ceiling_Hours,Door,Door_Hours,Trade
User_ A1,13-Nov-2023,801,32,0,0,299,16,830,24,0,0,Structure
User_ B1,13-Nov-2023,655,32,0,0,203,16,601,16,0,0,Structure
User_ C1,13-Nov-2023,1492,32,0,0,333,16,560,16,0,0,Structure
User_ D1,13-Nov-2023,75,8,462,16,302,16,903,24,0,0,Structure
User_ E1,13-Nov-2023,250,8,426,24,495,16,450,16,0,0,Structure
User_ F1,13-Nov-2023,220,8,426,8,512,16,1307,24,70,24,Structure
User_ G1,13-Nov-2023,100,8,722,24,0,0,1400,24,175,24,Structure
User_ H1,13-Nov-2023,51,8,186,10,286,18,780,16,80,24,Structure
User_ I1,13-Nov-2023,120,8,1020,24,0,0,890,24,0,0,Structure
User_ J1,13-Nov-2023,300,8,1302,24,0,0,1890,32,0,0,Structure
User_ K1,13-Nov-2023,111,8,267,8,0,0,1360,40,0,0,Structure
