User,Date,Pipe,Pipe_Hours,Manhole,Manhole_Hours,Fitting,Fitting_Hours,Equipment,Equipment_Hours,Fixture,Fixture_Hours,Trade
User_ PL01,14-Nov-2023,801,32,0,0,299,16,1111,32,0,0,Structure
User_ PL02,14-Nov-2023,655,32,0,0,203,16,790,24,0,0,Structure
User_ PL03,14-Nov-2023,1492,32,0,0,333,16,860,24,0,0,Structure
User_ PL04,14-Nov-2023,75,8,462,16,302,16,500,32,0,0,Structure
User_ PL05,14-Nov-2023,250,8,426,24,495,16,450,32,0,0,Structure
User_ PL06,14-Nov-2023,220,8,426,8,512,16,1401,32,70,24,Structure
User_ PL07,14-Nov-2023,100,8,722,24,0,0,1100,32,175,24,Structure
User_ PL08,14-Nov-2023,51,8,186,10,286,18,900,24,80,24,Structure
User_ PL09,14-Nov-2023,120,8,1020,24,0,0,1200,32,0,0,Structure
User_ PL10,14-Nov-2023,300,8,1302,24,0,0,2109,40,0,0,Structure
User_ PL11,14-Nov-2023,111,8,267,8,0,0,1450,40,0,0,Structure
