User,Date,Pipe,Pipe_Hours,Manhole,Manhole_Hours,Fitting,Fitting_Hours,Equipment,Equipment_Hours,Fixture,Fixture_Hours,Trade
User_ A5,7-Nov-2023,801,32,0,0,299,8,0,0,0,0,Structure
User_ B5,7-Nov-2023,655,32,0,0,104,8,0,0,0,0,Structure
User_ C5,7-Nov-2023,1492,32,0,0,251,8,0,0,0,0,Structure
User_ D5,7-Nov-2023,75,8,462,16,302,16,0,0,0,0,Structure
User_ E5,7-Nov-2023,250,8,396,16,495,16,0,0,0,0,Structure
User_ F5,7-Nov-2023,220,8,426,8,512,16,300,8,0,0,Structure
User_ G5,7-Nov-2023,100,8,722,24,0,0,450,8,0,0,Structure
User_ H5,7-Nov-2023,51,8,186,10,286,18,350,8,0,0,Structure
User_ I5,7-Nov-2023,120,8,1020,24,0,0,200,8,0,0,Structure
User_ J5,7-Nov-2023,300,8,1302,24,0,0,401,8,0,0,Structure
User_ K5,7-Nov-2023,111,8,267,8,0,0,235,16,0,0,Structure
