User,Date,Dry_Wall,Dry_Wall_Hours,Room,Room_Hours,Floor_Finish,Floor_Finish_Hours,Ceiling,Ceiling_Hours,Door,Door_Hours,Trade
User_ A1,6-Nov-2023,790,24,0,0,299,8,0,0,0,0,Structure
User_ B1,6-Nov-2023,462,24,0,0,104,8,0,0,0,0,Structure
User_ C1,6-Nov-2023,1398,24,0,0,251,8,0,0,0,0,Structure
User_ D1,6-Nov-2023,75,8,240,8,302,16,0,0,0,0,Structure
User_ E1,6-Nov-2023,250,8,197,8,495,16,0,0,0,0,Structure
User_ F1,6-Nov-2023,220,8,426,8,512,16,0,0,0,0,Structure
User_ G1,6-Nov-2023,100,8,722,24,0,0,0,0,0,0,Structure
User_ H1,6-Nov-2023,51,8,186,10,286,18,0,0,0,0,Structure
User_ I1,6-Nov-2023,120,8,1020,24,0,0,0,0,0,0,Structure
User_ J1,6-Nov-2023,300,8,1302,24,0,0,0,0,0,0,Structure
User_ K1,6-Nov-2023,111,8,267,8,0,0,70,8,0,0,Structure
