User,Date,Dry_Wall,Dry_Wall_Hours,Room,Room_Hours,Floor_Finish,Floor_Finish_Hours,Ceiling,Ceiling_Hours,Door,Door_Hours,Trade
User_ A1,4-Nov-2023,550,16,0,0,0,0,0,0,0,0,Structure
User_ B1,4-Nov-2023,195,16,0,0,0,0,0,0,0,0,Structure
User_ C1,4-Nov-2023,985,16,0,0,0,0,0,0,0,0,Structure
User_ D1,4-Nov-2023,75,8,240,8,0,0,0,0,0,0,Structure
User_ E1,4-Nov-2023,250,8,197,8,0,0,0,0,0,0,Structure
User_ F1,4-Nov-2023,220,8,426,8,0,0,0,0,0,0,Structure
User_ G1,4-Nov-2023,100,8,264,8,0,0,0,0,0,0,Structure
User_ H1,4-Nov-2023,51,8,186,8,0,0,0,0,0,0,Structure
User_ I1,4-Nov-2023,120,8,300,8,0,0,0,0,0,0,Structure
User_ J1,4-Nov-2023,300,8,501,8,0,0,0,0,0,0,Structure
User_ K1,4-Nov-2023,111,8,267,8,0,0,0,0,0,0,Structure
