User,Date,Column,Column_Hours,Beam,Beam_Hours,Floor,Floor_Hours,Wall,Wall_Hours,Stair,Stair_Hours,Trade
User_ A,18-Nov-2023,801,32,0,0,299,16,1111,32,0,0,Structure
User_ B,18-Nov-2023,655,32,0,0,203,16,790,24,0,0,Structure
User_ C,18-Nov-2023,1100,32,0,0,460,32,860,24,0,0,Structure
User_ D,18-Nov-2023,160,16,462,16,302,16,500,32,0,0,Structure
User_ E,18-Nov-2023,250,8,350,24,495,16,450,32,0,0,Structure
User_ F,18-Nov-2023,350,16,500,16,512,16,1401,32,110,32,Structure
User_ G,18-Nov-2023,100,8,800,30,0,0,1100,32,200,32,Structure
User_ H,18-Nov-2023,51,8,186,10,360,24,900,24,125,32,Structure
User_ I,18-Nov-2023,120,8,1020,24,0,0,1200,32,0,0,Structure
User_ J,18-Nov-2023,300,8,1302,24,0,0,2500,48,0,0,Structure
User_ K,18-Nov-2023,111,8,267,8,0,0,1700,48,0,0,Structure
