User,Date,Column,Column_Hours,Beam,Beam_Hours,Floor,Floor_Hours,Wall,Wall_Hours,Stair,Stair_Hours,Trade
User_ A,14-Nov-2023,801,32,0,0,299,16,1111,32,0,0,Structure
User_ B,14-Nov-2023,655,32,0,0,203,16,790,24,0,0,Structure
User_ C,14-Nov-2023,1492,32,0,0,333,16,860,24,0,0,Structure
User_ D,14-Nov-2023,75,8,462,16,302,16,500,32,0,0,Structure
User_ E,14-Nov-2023,250,8,426,24,495,16,450,32,0,0,Structure
User_ F,14-Nov-2023,220,8,426,8,512,16,1401,32,70,24,Structure
User_ G,14-Nov-2023,100,8,722,24,0,0,1100,32,175,24,Structure
User_ H,14-Nov-2023,51,8,186,10,286,18,900,24,80,24,Structure
User_ I,14-Nov-2023,120,8,1020,24,0,0,1200,32,0,0,Structure
User_ J,14-Nov-2023,300,8,1302,24,0,0,2109,40,0,0,Structure
User_ K,14-Nov-2023,111,8,267,8,0,0,1450,40,0,0,Structure
